,Age,Employment_Type,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Loan_Purpose,Debt_to_Income_Ratio,Loan_Status
0,50,0,110000,780,35000,72,1,0.22,1
1,27,1,35000,560,20000,48,1,0.62,0
2,51,1,210000,810,80000,120,0,0.25,1
3,20,2,8000,570,5000,24,2,0.45,0
4,38,0,92000,710,22000,48,1,0.29,1
5,56,3,10000,680,10000,48,5,0.75,0
6,44,0,115000,725,35000,48,1,0.26,1
7,60,1,170000,825,90000,120,0,0.17,1
8,37,1,55000,610,10000,36,5,0.52,0
9,27,3,5000,520,1000,12,5,0.68,0
10,45,0,80000,740,35000,72,1,0.26,1
11,31,1,130000,790,90000,108,0,0.21,1
12,32,0,95000,760,68000,96,1,0.22,1
13,24,2,25000,630,10000,36,2,0.29,1
14,39,0,70000,700,20000,60,4,0.28,1
15,58,1,125876,810,62938,84,0,0.19,1
16,68,0,145000,840,120000,120,0,0.11,1
17,63,3,7000,510,2500,36,5,0.62,0
18,69,0,110000,630,40000,72,3,0.47,0
19,21,2,18000,560,4000,24,2,0.58,0
20,28,1,45000,620,15000,48,0,0.55,0
21,67,1,210000,835,70000,120,0,0.08,1
22,38,1,70000,680,25000,60,5,0.37,1
23,49,1,105000,780,80000,84,3,0.14,1
24,38,0,92000,710,25000,36,3,0.28,1
25,54,0,125000,830,70000,108,0,0.11,1
26,27,0,48000,640,15000,36,4,0.33,0
27,36,0,85000,720,35000,60,3,0.28,1
28,22,3,500,450,2500,12,5,0.7,0
29,68,3,500,350,500,12,4,0.75,0
30,38,0,123689,761,64380,108,3,0.31,1
31,34,0,72000,700,10000,24,5,0.23,1
32,61,0,92000,800,30000,36,4,0.14,1
33,50,0,93000,750,40000,72,3,0.21,1
34,22,2,7000,480,2000,12,5,0.63,0
35,32,1,67000,700,18000,48,0,0.34,0
36,28,2,14000,570,3000,24,2,0.39,0
37,40,0,70000,700,28000,60,1,0.35,1
38,58,1,120000,730,24000,105,0,0.23,1
39,20,2,16000,685,10000,48,2,0.28,1
40,42,0,120000,780,95000,108,3,0.19,1
41,46,0,160000,800,55000,96,3,0.14,1
42,33,2,5000,550,5000,24,5,0.62,0
43,22,2,7000,560,2500,12,5,0.48,0
44,58,0,112000,775,37000,96,1,0.19,1
45,21,3,0,500,6000,24,4,0.77,0
46,33,3,0,300,500,12,5,0.79,0
47,68,0,115000,770,20000,24,4,0.17,1
48,67,1,180000,820,60000,108,0,0.12,1
49,22,3,0,510,7000,24,4,0.78,0
50,47,1,45103,682,10935,36,0,0.34,1
51,60,0,115000,765,25000,24,5,0.15,1
52,23,2,6000,600,2500,12,2,0.22,1
53,40,0,99000,660,49000,72,3,0.5,0
54,50,1,76000,720,23000,72,3,0.27,1
55,32,1,62000,680,15000,48,1,0.35,1
56,54,1,160000,805,65000,120,3,0.14,1
57,63,0,130000,840,70000,120,3,0.19,1
58,30,0,50000,685,10000,36,5,0.22,1
59,27,0,55000,630,12000,48,2,0.38,1
60,41,0,80000,715,40000,96,1,0.35,1
61,49,1,155000,780,60000,84,0,0.26,1
62,30,1,90000,740,30000,72,3,0.25,1
63,39,0,70000,705,18000,60,3,0.25,1
64,49,1,80000,670,40000,72,0,0.36,1
65,38,1,38000,640,20000,60,0,0.46,0
66,46,0,98000,750,28000,72,4,0.26,1
67,55,1,40000,560,20000,48,4,0.53,0
68,28,3,987,390,4935,18,5,0.79,0
69,49,1,75000,720,23000,72,3,0.27,1
70,66,1,30000,580,8000,36,4,0.6,0
71,38,0,85000,760,25500,84,3,0.25,1
72,28,0,45000,620,12000,48,2,0.35,1
73,37,0,88000,730,28000,60,3,0.25,1
74,25,2,12000,580,3000,12,1,0.5,0
75,35,1,80000,690,55000,72,0,0.31,1
76,34,1,80000,700,35000,72,3,0.34,1
77,59,1,95000,780,45000,84,3,0.2,1
78,26,1,62000,680,20000,48,5,0.35,1
79,43,1,77000,730,21000,48,3,0.28,1
80,35,0,120000,790,40000,48,1,0.21,1
